white values,brightest color,common color,number of colors,category
730,252246230,908685,1916,1
855,252246230,908685,2029,1
985,252246230,908685,2170,2
1117,255253233,908685,2386,2
1261,255253233,908685,2533,2
1410,255253233,908685,2605,2
1580,255253233,908685,3151,2
1754,255253233,908685,3241,3
1930,255253233,143133123,3553,3
2115,255253233,143133123,3813,3
2306,255253233,143133123,4007,3
2510,255255241,143133123,4347,3
2725,255255241,143133123,4473,4
2940,255255241,143133123,4514,4
3158,255255241,143133123,4664,4
3377,255255241,143133123,4755,4
3607,255255241,143133123,5236,4
11,247250250,168165158,302,0
32,247250250,168165158,628,0
63,247250250,168165158,866,0
122,247250250,170167160,1020,0
214,247250250,157156154,1196,0
320,247250250,157156154,1566,1
426,247250250,152155164,1829,1
532,247250250,152155164,2027,1
638,247250250,152155164,2195,1
744,247250250,152155164,2393,1
855,247250250,152155164,2448,2
975,248242223,152155164,2717,2
1105,248242223,152155164,2874,2
1235,248242223,152155164,2983,2
1365,248242223,152155164,3344,2
1506,248242223,152155164,3523,3
1665,248242223,152155164,3758,3
1826,248242223,152155164,3988,3
1988,253249234,152155164,4026,3
2154,255248219,152155164,4106,3
2347,255248219,152155164,4619,4
2567,255248219,152155164,5069,4
2794,255248219,152155164,5489,4
3028,255248219,152155164,5917,4
3284,255248219,152155164,6183,4
9,243242240,333331,259,0
30,254254252,333331,529,0
115,254254252,333331,920,0
230,254254252,333331,1138,0
373,254254252,333331,1564,0
517,254254252,333331,1837,1
661,254254252,333331,1909,1
805,254254252,333331,2011,1
950,254254252,333331,2151,1
1095,254254252,333331,2338,1
1240,254254252,333331,2470,2
1390,254254252,333331,2718,2
1547,254254252,333331,2952,2
1704,254254252,333331,3089,2
1872,254254252,333331,3300,2
2059,254254252,333331,3934,3
